Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,20.309999,20.549999,19.980000,20.540001,20.540001,1221700
2023-04-11,20.450001,21.059999,20.270000,20.879999,20.879999,737700
2023-04-12,21.240000,21.370001,20.530001,20.559999,20.559999,406500
2023-04-13,20.690001,22.500000,20.545000,22.170000,22.170000,1123700
2023-04-14,22.250000,22.430000,21.639999,22.139999,22.139999,720200
2023-04-17,22.330000,24.785000,22.070000,24.570000,24.570000,1693000
2023-04-18,24.969999,25.000000,24.160000,24.270000,24.270000,1590500
2023-04-19,24.010000,25.209999,24.010000,25.180000,25.180000,1051500
2023-04-20,24.889999,25.000000,24.000000,24.430000,24.430000,972900
2023-04-21,24.410000,24.780001,23.752001,24.290001,24.290001,628300
2023-04-24,24.200001,24.200001,22.950001,23.030001,23.030001,988800
2023-04-25,23.139999,23.584999,22.615000,23.059999,23.059999,722200
2023-04-26,22.980000,23.325001,22.150000,22.690001,22.690001,619800
2023-04-27,22.990000,23.080000,22.219999,22.920000,22.920000,595100
2023-04-28,22.980000,23.690001,22.600000,23.490000,23.490000,480300
2023-05-01,23.340000,24.290001,23.340000,23.850000,23.850000,615300
2023-05-02,23.719999,23.980000,23.129999,23.350000,23.350000,706300
2023-05-03,23.480000,24.160000,23.150000,23.830000,23.830000,743500
2023-05-04,23.740000,24.450001,23.230000,24.230000,24.230000,1093800
2023-05-05,24.520000,25.020000,24.129999,24.340000,24.340000,744100
2023-05-08,24.370001,24.459999,23.900000,24.440001,24.440001,573900
2023-05-09,24.170000,25.730000,23.080000,25.190001,25.190001,1008500
2023-05-10,25.559999,25.635000,24.790001,25.129999,25.129999,998600
2023-05-11,25.120001,25.840000,24.785000,25.620001,25.620001,743100
2023-05-12,25.660000,26.000000,25.160000,25.870001,25.870001,533500
2023-05-15,26.010000,26.990000,25.879999,26.540001,26.540001,477700
2023-05-16,25.910000,25.910000,24.809999,25.629999,25.629999,514600
2023-05-17,25.760000,26.080000,25.290001,25.930000,25.930000,588000
2023-05-18,25.770000,26.059999,24.830000,25.379999,25.379999,711300
2023-05-19,25.620001,26.290001,25.260000,25.850000,25.850000,939900
2023-05-22,25.900000,26.860001,25.674999,26.690001,26.690001,795500
2023-05-23,26.600000,27.350000,26.450001,26.469999,26.469999,873400
2023-05-24,26.309999,26.480000,25.940001,26.290001,26.290001,864200
2023-05-25,26.260000,26.260000,25.150000,25.309999,25.309999,806500
2023-05-26,25.370001,25.850000,25.209999,25.610001,25.610001,544200
2023-05-30,25.690001,26.320000,24.790001,25.020000,25.020000,357200
2023-05-31,25.129999,26.340000,24.795000,24.930000,24.930000,707100
2023-06-01,24.950001,25.465000,24.490000,25.200001,25.200001,474300
2023-06-02,25.440001,25.650000,25.115000,25.570000,25.570000,575900
2023-06-05,25.280001,26.250000,25.170000,25.820000,25.820000,801100
2023-06-06,25.950001,27.080000,25.750000,27.000000,27.000000,942700
2023-06-07,26.959999,27.299999,26.170000,26.910000,26.910000,5095300
2023-06-08,26.860001,26.980000,24.760000,24.840000,24.840000,796200
2023-06-09,24.809999,25.750000,24.610001,25.540001,25.540001,446500
2023-06-12,25.709999,26.330000,25.045000,25.309999,25.309999,472500
2023-06-13,25.320000,25.879999,25.320000,25.580000,25.580000,418600
2023-06-14,25.600000,25.799999,24.580000,25.250000,25.250000,600700
2023-06-15,25.180000,25.620001,24.440001,25.139999,25.139999,741500
2023-06-16,25.600000,25.600000,24.309999,24.620001,24.620001,1252800
2023-06-20,24.309999,25.889999,23.760000,25.680000,25.680000,1242400
2023-06-21,25.490000,25.959999,24.940001,25.780001,25.780001,2961200
2023-06-22,25.680000,25.680000,24.480000,24.969999,24.969999,1081800
2023-06-23,24.670000,25.900000,24.670000,25.520000,25.520000,5261800
2023-06-26,25.360001,25.424999,24.610001,24.870001,24.870001,977000
2023-06-27,24.930000,26.090000,24.459999,25.670000,25.670000,1116700
2023-06-28,25.799999,26.790001,25.344999,26.760000,26.760000,779200
2023-06-29,26.820000,26.920000,26.120001,26.219999,26.219999,754300
2023-06-30,26.500000,26.875000,26.100000,26.750000,26.750000,771000
2023-07-03,26.660000,27.230000,26.450001,26.830000,26.830000,440700
2023-07-05,26.830000,27.240000,26.709999,26.879999,26.879999,582500
2023-07-06,26.620001,26.690001,25.770000,26.200001,26.200001,751400
2023-07-07,26.299999,26.840000,26.200001,26.389999,26.389999,490100
2023-07-10,26.320000,27.250000,26.290001,27.209999,27.209999,876600
2023-07-11,27.000000,27.469999,26.760000,27.030001,27.030001,464800
2023-07-12,27.370001,27.469999,26.809999,26.940001,26.940001,482100
2023-07-13,26.889999,27.084999,26.500000,26.530001,26.530001,650300
2023-07-14,26.530001,26.680000,25.860001,26.660000,26.660000,329000
2023-07-17,26.660000,27.200001,26.410000,26.610001,26.610001,970400
2023-07-18,26.620001,27.030001,26.379999,26.830000,26.830000,607700
2023-07-19,26.980000,27.200001,26.730000,27.020000,27.020000,967600
2023-07-20,27.080000,27.110001,26.639999,26.820000,26.820000,527200
2023-07-21,27.000000,27.020000,26.200001,26.770000,26.770000,620100
2023-07-24,26.700001,26.879999,25.840000,25.940001,25.940001,482700
2023-07-25,25.870001,26.139999,25.580000,25.750000,25.750000,555200
2023-07-26,25.530001,25.684999,24.990000,25.309999,25.309999,780400
2023-07-27,25.620001,25.620001,24.905001,25.170000,25.170000,790300
2023-07-28,25.480000,26.100000,25.395000,25.709999,25.709999,460200
2023-07-31,25.639999,26.389999,25.540001,26.250000,26.250000,566500
2023-08-01,24.690001,32.080002,24.610001,31.500000,31.500000,6442800
2023-08-02,31.270000,32.880001,30.969999,32.779999,32.779999,3075900
2023-08-03,32.560001,33.189999,31.840000,31.889999,31.889999,1477200
2023-08-04,32.099998,32.419998,31.080000,31.209999,31.209999,1638300
2023-08-07,30.799999,30.969999,29.555000,29.639999,29.639999,1559600
2023-08-08,29.500000,30.170000,29.209999,30.170000,30.170000,1520200
2023-08-09,29.879999,30.799999,29.170000,29.620001,29.620001,825300
2023-08-10,29.650000,30.299999,29.450001,29.809999,29.809999,454300
2023-08-11,29.540001,30.139999,29.540001,29.990000,29.990000,500600
2023-08-14,29.709999,30.190001,29.440001,30.000000,30.000000,881000
2023-08-15,30.080000,30.940001,29.670000,30.700001,30.700001,634500
2023-08-16,30.520000,30.570000,29.610001,29.900000,29.900000,568900
2023-08-17,30.080000,30.139999,29.049999,29.290001,29.290001,515300
2023-08-18,28.990000,29.940001,28.990000,29.620001,29.620001,382000
2023-08-21,29.639999,30.055000,29.190001,29.870001,29.870001,415300
2023-08-22,29.790001,30.610001,29.690001,30.500000,30.500000,691100
2023-08-23,30.790001,31.639999,30.120001,31.230000,31.230000,1724900
2023-08-24,31.230000,31.930000,30.920000,31.820000,31.820000,1363300
2023-08-25,31.950001,33.255001,31.709999,33.139999,33.139999,1412700
2023-08-28,33.200001,33.410000,31.870001,32.259998,32.259998,561500
2023-08-29,32.380001,32.919998,31.680000,32.730000,32.730000,509400
2023-08-30,32.810001,33.439999,32.549999,33.299999,33.299999,842400
2023-08-31,33.299999,34.139999,33.105000,33.970001,33.970001,759300
2023-09-01,34.130001,35.270000,34.130001,35.049999,35.049999,930000
2023-09-05,34.869999,35.500000,33.590000,33.689999,33.689999,901400
2023-09-06,33.689999,34.070000,32.820000,33.480000,33.480000,2386700
